Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Evis,11/22/2021 12:46,0:18:15,,Modern Family: Season 4: Bringing Up Baby (Episode 1),,Chrome PC (Cadmium),0:21:32,0:21:32,AL (Albania)
Evis,11/22/2021 11:43,0:01:54,Autoplayed: user action: None; ,Modern Family: Season 4: Bringing Up Baby (Episode 1),,Chrome PC (Cadmium),0:01:58,Not latest view,AL (Albania)
Evis,11/22/2021 11:40,0:02:52,,Modern Family: Season 3: Baby on Board (Episode 24),,Chrome PC (Cadmium),0:21:25,0:21:25,AL (Albania)
Evis,11/22/2021 11:40,0:00:06,Autoplayed: user action: None; ,Teaser 1: The Princess Switch 3: Romancing the Star,TEASER_TRAILER,Chrome PC (Cadmium),0:00:06,0:00:06,AL (Albania)
Evis,11/19/2021 18:41,0:18:31,,Modern Family: Season 3: Baby on Board (Episode 24),,Chrome PC (Cadmium),0:18:33,Not latest view,AL (Albania)
Evis,11/19/2021 18:27,0:13:27,,Modern Family: Season 3: Tableau Vivant (Episode 23),,Chrome PC (Cadmium),0:21:27,0:21:27,AL (Albania)
Evis,11/19/2021 18:27,0:00:06,Autoplayed: user action: None; ,Season 1 Plot Clip: Hellbound,HOOK,Chrome PC (Cadmium),0:00:06,0:00:06,AL (Albania)
Evis,11/15/2021 14:48,0:08:00,,Modern Family: Season 3: Tableau Vivant (Episode 23),,Netflix Android STB L3 Android,0:08:00,Not latest view,AL (Albania)
Evis,11/15/2021 14:27,0:21:25,,Modern Family: Season 3: Disneyland (Episode 22),,Netflix Android STB L3 Android,0:21:25,0:21:25,AL (Albania)
Evis,11/15/2021 13:36,0:20:40,,"Modern Family: Season 3: Planes, Trains & Cars (Episode 21)",,Chrome PC (Cadmium),0:20:40,0:20:40,AL (Albania)
Evis,11/15/2021 13:34,0:00:55,,Modern Family: Season 3: The Last Walt (Episode 20),,Chrome PC (Cadmium),0:20:23,0:20:23,AL (Albania)
Evis,11/15/2021 13:34,0:00:11,Autoplayed: user action: None; ,Little Women_hook_01_16x9,HOOK,Chrome PC (Cadmium),0:00:11,0:00:11,AL (Albania)
Evis,11/13/2021 21:46,0:20:59,,Modern Family: Season 3: The Last Walt (Episode 20),,Apple iPhone 8 Plus (CDMA),0:21:00,Not latest view,AL (Albania)
Evis,11/13/2021 21:46,0:21:26,,Modern Family: Season 3: The Last Walt (Episode 20),,Apple iPhone 8 Plus (CDMA),0:21:27,Not latest view,AL (Albania)
Evis,11/13/2021 21:46,0:00:07,,Modern Family: Season 3: Election Day (Episode 19),,Apple iPhone 8 Plus (CDMA),0:21:08,0:21:08,AL (Albania)
Evis,11/13/2021 21:12,0:21:00,,Modern Family: Season 3: Election Day (Episode 19),,Netflix Android STB L3 Android,0:21:00,Not latest view,AL (Albania)
Evis,11/13/2021 20:51,0:21:23,,Modern Family: Season 3: Send Out the Clowns (Episode 18),,Netflix Android STB L3 Android,0:21:24,0:21:24,AL (Albania)
Evis,11/13/2021 20:28,0:21:25,,Modern Family: Season 3: Leap Day (Episode 17),,Netflix Android STB L3 Android,0:21:26,0:21:26,AL (Albania)
Evis,11/13/2021 12:58,0:21:26,,Modern Family: Season 3: Virgin Territory (Episode 16),,Chrome PC (Cadmium),0:21:28,0:21:28,AL (Albania)
Evis,11/13/2021 12:18,0:00:01,,Modern Family: Season 3: Virgin Territory (Episode 16),,Chrome PC (Cadmium),0:00:02,Not latest view,AL (Albania)
Evis,11/13/2021 11:57,0:21:24,,Modern Family: Season 3: Aunt Mommy (Episode 15),,Chrome PC (Cadmium),0:21:28,0:21:28,AL (Albania)
Evis,11/13/2021 11:20,0:00:02,,Modern Family: Season 3: Aunt Mommy (Episode 15),,Chrome PC (Cadmium),0:00:04,Not latest view,AL (Albania)
Evis,11/13/2021 10:59,0:21:03,,Modern Family: Season 3: Me? Jealous? (Episode 14),,Chrome PC (Cadmium),0:21:08,0:21:08,AL (Albania)
Evis,11/12/2021 19:42,0:00:05,,Modern Family: Season 3: Me? Jealous? (Episode 14),,Netflix Android STB L3 Android,0:00:05,Not latest view,AL (Albania)
Evis,11/12/2021 19:21,0:21:08,,Modern Family: Season 3: Little Bo Bleep (Episode 13),,Netflix Android STB L3 Android,0:21:08,0:21:08,AL (Albania)
Evis,11/12/2021 18:59,0:21:30,,Modern Family: Season 3: Egg Drop (Episode 12),,Netflix Android STB L3 Android,0:21:30,0:21:30,AL (Albania)
Evis,11/12/2021 18:38,0:21:26,,Modern Family: Season 3: Lifetime Supply (Episode 11),,Netflix Android STB L3 Android,0:21:26,0:21:26,AL (Albania)
Evis,11/12/2021 18:36,0:01:42,,Modern Family: Season 3: Express Christmas (Episode 10),,Netflix Android STB L3 Android,0:21:13,0:21:13,AL (Albania)
Evis,11/12/2021 17:41,0:19:35,,Modern Family: Season 3: Express Christmas (Episode 10),,Netflix Android STB L3 Android,0:19:35,Not latest view,AL (Albania)
Evis,11/12/2021 17:19,0:21:16,,Modern Family: Season 3: Punkin Chunkin (Episode 9),,Netflix Android STB L3 Android,0:21:26,0:21:26,AL (Albania)
Evis,11/12/2021 16:47,0:00:11,,Modern Family: Season 3: Punkin Chunkin (Episode 9),,Netflix Android STB L3 Android,0:00:11,Not latest view,AL (Albania)
Evis,11/12/2021 16:27,0:19:58,,Modern Family: Season 3: After the Fire (Episode 8),,Netflix Android STB L3 Android,0:21:12,0:21:12,AL (Albania)
Evis,11/11/2021 14:14,0:01:24,,Modern Family: Season 3: After the Fire (Episode 8),,Chrome PC (Cadmium),0:01:24,Not latest view,AL (Albania)
Evis,11/11/2021 14:12,0:01:43,Autoplayed: user action: None; ,Community: Season 1_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:00,0:00:00,AL (Albania)
Evis,11/11/2021 13:09,0:13:36,,Modern Family: Season 3: Treehouse (Episode 7),,Chrome PC (Cadmium),0:21:21,0:21:21,AL (Albania)
Evis,11/11/2021 12:09,0:07:43,,Modern Family: Season 3: Treehouse (Episode 7),,Chrome PC (Cadmium),0:07:45,Not latest view,AL (Albania)
Evis,11/11/2021 11:59,0:07:16,,Modern Family: Season 3: Go Bullfrogs! (Episode 6),,Chrome PC (Cadmium),0:21:26,0:21:26,AL (Albania)
Evis,11/11/2021 7:58,0:11:11,,Modern Family: Season 3: Go Bullfrogs! (Episode 6),,Chrome PC (Cadmium),0:14:09,Not latest view,AL (Albania)
Evis,11/11/2021 7:58,0:00:04,Autoplayed: user action: None; ,GINNYANDGEORGIA_S1_CLIP_MAINCHARACTER,HOOK,Chrome PC (Cadmium),0:00:04,0:00:04,AL (Albania)
Evis,11/10/2021 13:25,0:00:08,,Modern Family: Season 3: Go Bullfrogs! (Episode 6),,Chrome PC (Cadmium),0:00:09,Not latest view,AL (Albania)
